week	sales1	sales2	sales3	sales4	sales5	price1	price2	price3	price4	price5	disp1	disp2	disp3	disp4	disp5	feat1	feat2	feat3	feat4	feat5	grmar1	grmar2	grmar3	grmar4	grmar5
40	6528	8448	47040	4224	2432	0.057	0.060	0.030	0.047	0.025	0.284313726	0	0.49659864	0	0	0	0	1	0	1	0.344356863	0.2957	0.107935374	0.3077	0.0101
43	6016	8352	3008	5696	2112	0.057	0.060	0.044	0.047	0.039	0	0	0	0	0	0	0	1	0	0	0.342101064	0.2957	0.416802128	0.365920225	0.4281
44	6272	7776	2816	36160	896	0.057	0.060	0.044	0.040	0.039	0	0	0	0	0	0	0	0	1	0	0.319927551	0.2957	0.372590909	0.334817876	0.4281
45	6848	7968	28352	3200	1152	0.057	0.060	0.037	0.047	0.039	0	0	0.449209932	0	0	0	0	0	0	0	0.264671028	0.2957	0.257612415	0.404416	0.3687
46	7424	7296	3712	11904	3072	0.057	0.060	0.044	0.047	0.039	0	0	0	0	0	0	0	0	0	0	0.260982759	0.2957	0.363762069	0.412580645	0.3747
47	6848	7200	11136	21376	4672	0.057	0.060	0.044	0.037	0.033	0	0	0	0.458083832	0	0	0	0	1	1	0.2598	0.2957	0.365395402	0.207690419	0.255
48	7488	7968	35904	3648	1920	0.057	0.060	0.037	0.047	0.033	0	0	0.370766488	0	0	0	0	1	0	0	0.2593	0.2957	0.221556506	0.344168421	0.2569
49	6336	7200	2368	46848	896	0.057	0.060	0.037	0.031	0.033	0	0	1	0.833333333	1	0	0	0	1	0	0.259	0.33858	0.246486487	0.013690301	0.2478
50	6208	11712	45824	3328	1152	0.057	0.060	0.031	0.047	0.033	0	1	0.412011173	0	1	0	1	1	0	0	0.259	0.382091803	0.151578631	0.351496154	0.2512
51	6400	10368	3008	4096	26432	0.057	0.060	0.044	0.047	0.030	0	1	0	0.40625	1	0	0	0	0	1	0.259	0.37305	0.395757447	0.352682813	0.2
52	13056	7104	2816	4864	7168	0.051	0.060	0.044	0.047	0.030	0.245098039	0.783783784	0	0.144736842	1	0	0	1	0	0	0.27110098	0.414602703	0.438163636	0.396681579	0.2069
53	8704	6432	3456	36288	7680	0.051	0.060	0.044	0.034	0.030	1	0	0	1	1	0	0	0	1	0	0.270722059	0.32229403	0.415194444	0.151551146	0.2069
54	8832	7200	46528	3072	6912	0.051	0.060	0.037	0.047	0.028	1	0	0.353507565	0	0	0	0	1	0	0	0.27083913	0.304744	0.22071967	0.3787	0.1626
55	5696	10176	9792	4864	32704	0.057	0.060	0.037	0.047	0.028	0	0	0.62745098	0	1	0	0	0	0	1	0.344608989	0.29985	0.220392157	0.378725	0.1603
56	14208	6144	2240	9152	7232	0.051	0.060	0.044	0.047	0.028	1	0	0	0	1	1	0	0.958714286	0	0	0.270605405	0.29018293	0.331774286	0.379265734	0.1598
57	7616	8640	1280	42944	1152	0.051	0.060	0.044	0.031	0.039	0.378151261	0	0	1	0	0	0	0	1	0	0.270613445	0.28804403	0.33324	0.063552608	0.4763
58	5632	18912	2432	4032	65536	0.055	0.048	0.044	0.045	0.019	1	1	0	0	0	0	1	0	0	1	0.289914773	0.168580203	0.350739474	0.350003073	0.0298
59	6592	6720	38208	4032	1024	0.055	0.057	0.031	0.047	0.025	0.349514563	0	0.453936348	0	1	0	0	1	0	0	0.303381553	0.30612	0.148969012	0.393274603	0.1956
60	7680	8736	1728	36800	23872	0.055	0.057	0.044	0.031	0.025	0	0	0	1	0	0	0	0	1	1	0.3028525	0.306730769	0.413414815	0.176183652	0.1956
61	6720	9216	11904	4224	43328	0.055	0.057	0.031	0.047	0.020	0.676190476	0	1	0	1	0	0	1	0	0	0.303458095	0.306697917	0.152687097	0.449934849	0.0085
62	10432	12576	4672	25600	59648	0.057	0.057	0.044	0.031	0.015	0	0	0	0.7775	0	0	0	0	1	0	0.291934356	0.276792366	0.39030411	0.16880525	0.2919
63	13824	7008	6208	10176	16320	0.047	0.057	0.036	0.031	0.025	1	0	1	1	0	0	0	0	0	1	0.1973	0.294638356	0.243807217	0.168490566	0.3333
65	7872	9504	2048	29312	6080	0.053	0.053	0.041	0.031	0.034	0	0	0	0.580786026	0	0	0	0	1	0	0.319761789	0.393536364	0.475692795	0.14014214	0.516
66	8064	27936	3392	13440	32832	0.053	0.042	0.038	0.031	0.022	0	0.76975945	0	1	1	0	0	0	0	1	0.315566667	0.154211684	0.456913208	0.13727381	0.2381
67	23872	16032	20032	15296	1856	0.037	0.042	0.031	0.031	0.034	0	0.74251497	0.485623003	0.845188285	0	0	0	1	0	0	0.251961394	0.139736527	0.32918115	0.145818829	0.5164
68	13760	9408	54272	11008	1152	0.037	0.053	0.026	0.031	0.034	1	0	1	1	0	0	0	1	0	0	0.170256744	0.349173469	0.074064387	0.139891861	0.5164
71	10368	14784	39488	14976	1792	0.040	0.053	0.026	0.038	0.034	1	0	1	0.158119658	0	0	0	1	0	0	0.309511111	0.264217533	0.11590859	0.305828633	0.484
72	4608	18720	4608	37312	6336	0.053	0.037	0.026	0.031	0.034	0	0.748717949	0.555555556	1	0	0	1	0	0.994813036	0	0.472879167	0.128010769	0.100966667	0.246556775	0.5297
73	7104	9888	2688	6528	36288	0.053	0.037	0.038	0.038	0.023	0	0.398058252	0	0	0	0	0	0	0	1	0.456254054	0.121323301	0.377657143	0.362040196	0.2544
74	34432	12864	3136	6208	6080	0.039	0.037	0.038	0.038	0.023	0.36802974	1	0	1	1	0	0	1	0	0	0.3165	0.114276866	0.378	0.347282474	0.2497
75	6592	8736	60928	4416	1728	0.053	0.053	0.023	0.038	0.034	0	0	1	1	0	0	0	1	0	0	0.486159223	0.418158242	0.009527101	0.335110145	0.4863
76	7296	9600	12800	9216	2880	0.053	0.053	0.023	0.038	0.034	0	0	1	0.881944444	0	0	0	0	0	0	0.482403509	0.34725	0.00079	0.307674306	0.4521
77	7552	9504	2496	25664	4544	0.053	0.053	0.038	0.031	0.031	0	0	0	1	1	0	0	0	1	1	0.481989831	0.328714141	0.429815385	0.145887032	0.4251
78	6976	10080	2688	5184	67904	0.053	0.053	0.038	0.038	0.017	0.339449541	0	0	0	0	0	0	0	0	1	0.467077064	0.318433333	0.417	0.3307	0.0376
79	6720	10368	39104	15232	2048	0.053	0.049	0.028	0.038	0.034	0	0	0.445171849	0	0	0	0	1	0	0	0.433028571	0.263344444	0.153560066	0.359438656	0.4849
80	5824	9312	1984	86912	2688	0.053	0.049	0.038	0.026	0.034	0.318681319	0	0	1	0	0	0	0	1	0	0.451708791	0.261578351	0.370487097	0.088877467	0.5027
81	96064	7584	1536	19520	8896	0.026	0.049	0.038	0.026	0.025	1	0	0	1	0	1	0	0	0	1	0.042905996	0.304387342	0.3726	0.112030164	0.3497
82	11072	7584	1984	5440	9408	0.053	0.049	0.037	0.038	0.025	0	0	0	0.847058824	1	0	0	0	1	0	0.464857225	0.31484557	0.342932258	0.374251765	0.3516
83	55808	6528	832	8320	15680	0.031	0.049	0.037	0.033	0.025	1	0	1	0.130769231	1	1	0	0	0	0	0.14651078	0.317735294	0.345061539	0.225806923	0.3516
84	12928	11232	1472	7424	83008	0.053	0.045	0.037	0.033	0.015	0	0.239316239	1	1	1	0	0.977264957	0	0	1	0.486047525	0.244009402	0.3489	0.230846552	0.0303
85	68032	6048	1344	6784	1536	0.031	0.049	0.037	0.033	0.034	1	0	1	0.320754717	0	1	0	0	0	1	0.027187488	0.296566667	0.3489	0.248010377	0.5365
86	26112	6912	2112	21440	1600	0.031	0.049	0.037	0.033	0.034	1	0	1	0.776119403	0	0	0	0	0	0	0.015661275	0.296819444	0.3489	0.237288358	0.5187
87	11776	10272	1600	132224	1344	0.053	0.049	0.038	0.022	0.034	0	0	0.44	0.53339787	0	0	0	0	1	0	0.422016848	0.296400935	0.378	0.064284124	0.4849
88	34048	6816	960	5120	3456	0.036	0.049	0.038	0.035	0.034	1	0	0	0	0	1	0	0	0	0	0.154685902	0.284930986	0.378	0.42803125	0.4849
89	14848	17184	1408	5696	30976	0.053	0.042	0.037	0.035	0.025	0	1	0	0	1	0	0	0	0	1	0.424096983	0.288563687	0.3489	0.427739326	0.3597
90	15424	10560	704	5440	4416	0.053	0.042	0.037	0.035	0.025	0.518672199	0.345454546	0	0	0	0	0	0	0	0	0.42396473	0.245363636	0.3489	0.421554118	0.3604
91	64000	8064	1664	3520	2688	0.031	0.049	0.037	0.035	0.033	1	0.785714286	0	0	0	0	0	1	0	0	0.017206	0.336257143	0.3489	0.402287273	0.5134
92	14528	8160	14464	19584	13376	0.031	0.049	0.028	0.026	0.022	1	0.741176471	1	0.911764706	1	0	0	1	1	1	0.03250837	0.306603529	0.1307	0.05467451	0.2787
93	7040	9408	2368	7040	17856	0.053	0.049	0.037	0.035	0.020	0.427272727	0	0	0.227272727	1	0	0	0	0	0	0.393930909	0.308220408	0.3489	0.312142727	0.2116
94	15168	16992	2304	39296	4096	0.053	0.047	0.037	0.026	0.030	0.497890295	0	0	1	0	0	1	0	1	0	0.393803798	0.27800113	0.3489	0.107724593	0.4423
95	53056	7968	1024	11264	2496	0.031	0.047	0.037	0.026	0.030	0.419782871	0.626506024	1	1	0	0	0	1	0	0	0.1357	0.279660241	0.3489	0.06573125	0.3947
96	9536	11232	2496	4864	14976	0.031	0.049	0.037	0.035	0.025	1	0	0	0.684210526	0	0	0	0	0	1	0.117922148	0.314025641	0.3489	0.304131579	0.3321
97	11904	21120	11328	5184	6464	0.031	0.039	0.037	0.035	0.025	0.661290323	0.340909091	0	0	0	0	1	0	0	0	0.07998871	0.104406818	0.3489	0.270874074	0.3327
98	11136	13728	56704	3392	3648	0.053	0.039	0.031	0.035	0.030	0	1	1	0	0	0.586206897	0	1	0	0	0.3746	0.130451748	0.241803838	0.263688679	0.4386
99	37568	6912	1472	3712	52928	0.034	0.049	0.037	0.035	0.015	1	0.666666667	0	0	1	0	0	1	0	1	0.032	0.308733333	0.415804348	0.262555172	0.0273
100	13376	8352	4800	3904	24448	0.034	0.049	0.037	0.035	0.015	1	0.310344828	0	0	0	0	0	0	0	0	0.032	0.310848276	0.415716	0.262411475	0.0253
101	6144	12576	5696	8960	20800	0.053	0.049	0.037	0.035	0.023	0	0	0	0	0	0	0	0	0	1	0.3746	0.310943512	0.416240449	0.26154	0.2933
102	7104	13248	2496	83072	5312	0.053	0.049	0.037	0.020	0.023	0.432432432	0	0	0.711864407	1	0	0	0	1	0	0.3746	0.277726087	0.4166	0.151661941	0.2913
103	5696	17856	23872	4160	15104	0.053	0.046	0.031	0.035	0.022	0	0.284946237	1	0.261538462	1	0	1	1	0	0	0.362057303	0.261482796	0.334535925	0.386372308	0.2403
104	63168	10080	2880	4928	13120	0.031	0.046	0.037	0.035	0.022	0.600810537	0	0.444444444	0.51948052	1	1	0	0.444444444	0	0	0.059673455	0.2642	0.425522222	0.388938961	0.2403
105	7680	11136	6208	34304	12288	0.053	0.049	0.031	0.031	0.022	0	0	1	1	1	0	0	0	1	0	0.3757625	0.32	0.321331959	0.310935821	0.2403
106	11136	10560	48256	6720	8064	0.043	0.049	0.026	0.030	0.025	0	0	0	0	0	1	0	1	0	1	0.224794048	0.30131	0.213223342	0.29316763	0.3006
107	8384	11520	12160	12608	9728	0.050	0.049	0.027	0.029	0.025	0	0	1	1	1	0	0	0	0	0	0.339260183	0.292238333	0.246727664	0.252997131	0.2993
108	7616	12192	2560	11456	9984	0.046	0.049	0.036	0.028	0.024	0	0	0	1	1	0	0	0	0	0	0.2861	0.268948032	0.420275801	0.214498883	0.2766
109	9216	11136	3584	9408	28608	0.046	0.049	0.035	0.030	0.023	1	0	1	1	1	0	0	0	0	1	0.2789	0.300931035	0.412125	0.23180635	0.2516
110	8512	10176	2560	192128	5760	0.046	0.049	0.035	0.026	0.024	1	0	1	1	1	0	0	0	1	0	0.283295489	0.306185197	0.365985	0.114624817	0.2664
111	8128	14976	2816	9216	3840	0.046	0.048	0.035	0.035	0.030	1	1	1	0	0	0	1	0	0	0	0.281992126	0.296	0.325268182	0.319727083	0.41
112	8960	10464	2496	48704	2048	0.046	0.048	0.035	0.023	0.028	1	1	1	1	0	0	0	0	0	0	0.280171429	0.305430829	0.355335897	0.005774376	0.4071
113	13248	9408	71232	4544	3392	0.046	0.049	0.031	0.035	0.026	1	0	1	0	1	0	0	0	0	1	0.289881159	0.3197	0.26685301	0.331062971	0.3721
114	10624	12384	49536	8000	3968	0.047	0.049	0.031	0.032	0.027	0	0	1	0	1	0	0	1	0	0	0.364753012	0.307234884	0.270687468	0.283705021	0.382
115	57408	11040	4160	11136	4352	0.031	0.049	0.033	0.031	0.030	1	0	0	1	0	1	0	0.729377714	0	0	0.131861204	0.313066957	0.325900868	0.24552931	0.4253
116	11200	10176	4864	10496	19264	0.043	0.049	0.031	0.031	0.023	1	0	1	1	0	0	0	0	0	1	0.385246187	0.323191509	0.277627632	0.214465854	0.2586
117	8576	19776	6336	7360	30784	0.047	0.042	0.031	0.032	0.025	0	1	1	1	1	0	0	0	0	0	0.439840299	0.2621	0.279551515	0.216814779	0.271
118	8704	14976	5696	4608	31040	0.047	0.044	0.029	0.035	0.025	0	1	1	0	1	0	0	0	0	1	0.439782353	0.317458099	0.25752466	0.2694	0.2377
119	12032	12960	41280	6272	9856	0.043	0.049	0.026	0.033	0.025	0	0	1	0	1	0	0	1	0	0	0.389742319	0.38832	0.218817209	0.284230162	0.2856
120	19008	12288	22912	17216	20672	0.037	0.049	0.027	0.031	0.026	1	0	1	1	1	0	0	0	1	1	0.29856128	0.343426563	0.237957359	0.229455019	0.2597
121	18432	12192	22272	18944	11392	0.037	0.049	0.024	0.031	0.026	1	0	0	1	1	0	0	0	0	0	0.281927381	0.330768504	0.176735473	0.229047635	0.2408
122	16576	10944	63360	7424	2304	0.036	0.049	0.023	0.034	0.027	1	0	1	1	1	0	0	1	0	0	0.238469112	0.327219298	0.165691414	0.21288435	0.2497
123	10304	11520	32448	14208	4928	0.039	0.049	0.024	0.039	0.028	1	0	1	0	0	0	0	0	0.04	0	0.277795652	0.321	0.138121299	0.314872523	0.2824
124	6272	18240	8448	11392	15424	0.047	0.042	0.037	0.039	0.023	0	1	0	0	1	0	1	0	1	0	0.398046939	0.1909	0.419638636	0.292191573	0.136
125	9536	16704	12736	4160	65280	0.047	0.042	0.025	0.040	0.020	0	1	0	0	1	0	1	0	0	0	0.398055705	0.1907	0.227615297	0.313763634	0.0077
126	8448	9984	81792	5184	10880	0.047	0.044	0.023	0.037	0.021	0	1	1	0	1	0	0	1	0	0	0.423271212	0.236202656	0.170538028	0.260056924	0.0106
